Country, 1932, 1937, 1952, 1953, 1954
Angola, 0, 0, 12, 15, 15
Belg. Congo, 0, 1, 6, 6, 7
Cape Verde Islands, 0, 0, 2, 2, 2
Fr. Eq. Africa, 0, 0, 1, 2, 1
Fr. West Africa, 0, 0, 3, 3, 3
"Kenya,  Uganda,  Tanganyika", 0, 1, 4, 4, 7
Morocco [Fr.], 1, 1, 4, 4, 4
Morocco [Sp.], 0, 0, 1, 2, 2
Mozambique, 0, 1, 2, 3, 4
Nigeria, 0, 0, 6, 6, 0
N. Rhodesia, 0, 0, 3, 1, 0
Reunion, 1, 1, 3, 3, 2
S. Rhodesia, 0, 0, 6, 6, 0
Union of South Africa, 5, 7, 10, 11, 11
Barbados, 0, 0, 1, 2, 1
Canada, 70, 88, 0, 258, 327
Cuba, 0, 0, 0, 0, 138
Dominican Republic, 1, 24, 29, 0, 0
Guadeloupe, 0, 0, 2, 2, 2
Haiti, 0, 3, 17, 0, 0
Jamaica, 0, 0, 2, 3, 4
Martinique, 0, 2, 2, 2, 2
Mexico, 0, 101, 0, 227, 0
Neth. Antilles, 0, 1, 0, 3, 4
Panama, 0, 0, 60, 58, 0
United States, 0, 734, "4, 433", "4, 698", "4, 863"
SOUTH AMERICA, 0, 0, 0, 0, 0
Argentina, 37, 40, 68, 0, 0
Brazil, 22, 50, 253, 0, 0
Chile, 37, 0, 80, 94, 99
Ecuador, 0, 0, 54, 0, 0
Falkland Islands, 0, 0, 3, 3, 1
Paraguay, 0, 0, 15, 15, 0
Peru, 4, 8, 58, 0, 0
Uruguay, 0, 0, 58, 66, 0
Ceylon, 1, 1, 2, 2, 1
Hong Kong, 1, 3, 3, 3, 3
India, 4, 11, 25, 25, 26
Indonesia, 0, 0, 21, 26, 26
Israel, 0, 0, 7, 7, 8
Japan, 21, 51, 104, 132, 145
"Korea,  S.", 0, 0, 13, 0, 0
Laos, 0, 0, 1, 1, 2
Macau, 0, 1, 2, 2, 1
Malaya, 0, 3, 3, 4, 11
Pakistan, 0, 0, 5, 5, 7
Philippines, 0, 0, 26, 0, 0
Syria, 0, 0, 2, 2, 2
Thailand, 0, 0, 5, 0, 15
Turkey, 2, 2, 3, 0, 0
Vietnam, 0, 5, 4, 0, 4
Austria, 0, 0, 66, 86, 88
Belgium, 2, 3, 12, 12, 12
Czechoslovakia, 0, 8, 15, 0, 0
Denmark, 3, 3, 11, 11, 11
Finland, 8, 11, 14, 23, 34
France, 28, 26, 74, 78, 75
Germany, 26, 30, 201, 220, 232
Greece, 0, 1, 20, 20, 17
Iceland, 1, 1, 4, 4, 4
Ireland (Rep.), 3, 3, 2, 0, 3
Italy, 12, 17, 95, 109, 130
Luxembourg, 0, 1, 3, 4, 4
Netherlands, 3, 6, 9, 8, 8
Norway, 13, 16, 26, 26, 29
Portugal, 0, 25, 31, 42, 43
Spain , 0, 0, 74, 89, 0
Sweden, 31, 31, 34, 34, 34
Switzerland, 5, 6, 8, 9, 10
United Kingdom, 16, 13, 61, 63, 65
Yugoslavia, 0, 4, 16, 18, 0
Australia, 62, 111, 157, 159, 161
New Guinea [Neth.], 0, 0, 2, 2, 2
New Zealand, 34, 26, 30, 29, 31
