Country, Code, Year, Number
Libya, R, 1956 (Jan.), 0.3
Alaska, R, 1956 (Jun.), 34
Canada, R, 1955 (Dec.), "2, 000"
Cuba, R, 1956 (begin.), 200
Dominican Republic, R, 1956 (begin.), 6
Mexico, R, 1956 (begin.), 175
Puerto Rico, R, 1956 (Jun.), 126
United States, R, 1956 (Jul.), "39, 000"
SOUTH AMERICA, 0, 0, 0
Argentina, R, 1955, 125
Brazil, R, 1956 (begin.), 150
Colombia, R, 1956 (begin.), 20
Venezuela, R, 1956 (begin.), 65
Japan, R, 1956 (begin.), 250
Philippines, R, 1955 (Sept.), 7
Thailand, R, 1956 (begin.), 3.5
Turkey, R, 1955 (Apr.), 1
Austria, R, 1956 (Jun.), 2.8
Belgium, R, 1955 (Oct.), 72
Bulgaria, R, 1956 (begin.), 0.2
Czechoslovakia, R, 1956 (Jan.), 45
Denmark, L, 1955 (Dec.), 8.2
France, L, 1956 (Apr.), 314
East Germany, R, 1955 (Nov.), 50
West Germany , L, 1956 (Jun.), 445
West Berlin, L, 1955 (Dec.), 12.4
Hungary, R, 1956 (begin.), 0.5
Ireland, R, 1955, 4
Italy, L, 1956 (Mar.), 224
Luxembourg, R, 1955, 1
Monaco, R, 1956 (begin.), 1.5
Netherlands, R, 1956 (Jul.), 63.2
Norway, R, 1955 (Sept.), 0.3
Poland, R, 1956 (begin.), 0.3
Saar, R, 1955 (Dec.), 3.5
Spain, L, 1955 (Apr.), 0.5
Sweden, R, 1956 (May), 10
Switzerland, L, 1956 (Jun.), 16
United Kingdom, L, 1956 (May), "5, 863"
USSR, R, 1955, 820
