Country, 1953, 1954, 1955
Morocco, 2, 2, 2
Canada, 12, 9, 26
Cuba, 7, 10, 23
Dominican Republic, 1, 0, 0
Mexico, 6, 8, 0
United States, 356, 439, 482
Argentina, 1, 1, 0
Brazil, 3, 4, 0
Colombia, 0, 2, 0
Venezuela, 0, 3, 0
ASIA, 0, 0, 0
Japan, 7, 6, 7
Philippines, 0, 1, 0
Belgium, 0, 4, 4
Czechoslovakia, 0, 1, 0
Denmark, 1, 1, 2
France, 4, 5, 11
East Germany , 1, 4, 0
West Germany , 29, 61, 68
Italy, 7, 11, 15
Luxembourg, 0, 1, 0
Monaco, 0, 1, 1
Netherlands, 2, 2, 2
Saar, 0, 1, 0
Spain, 1, 1, 0
Sweden, 0, 1, 0
Switzerland, 1, 3, 3
United Kingdom, 9, 12, 16
