Country, 1953, 1954, 1955, 1956
Morocco, 2, 2, 2, 0
Canada, 12, 9, 26, 33
Cuba, 7, 10, 23, 0
Dominican Republic, 1, 0, 0, 0
Mexico, 6, 8, 0, 0
United States, 356, 439, 482, 511
Argentina, 1, 1, 0, 1
Brazil, 3, 4, 0, 0
Colombia, 0, 2, 4, 0
Uruguay, 0, 0, 0, 1
Venezuela, 0, 3, 0, 0
Japan, 7, 6, 7, 15
Philippines, 0, 1, 0, 0
Belgium, 0, 4, 4, 4
Czechoslovakia, 0, 1, 0, 0
Denmark, 1, 1, 2, 3
France, 4, 5, 11, 16
East Germany, 1, 4, 0, 0
West Germany, 29, 61, 68, 63
Saar, 0, 1, 0, 0
Italy, 7, 11, 15, 64
Luxembourg, 0, 0, 1, 1
Monaco, 0, 1, 1, 0
Netherlands, 2, 2, 2, 2
Spain, 1, 1, 0, 1
Sweden, 0, 1, 0, 0
Switzerland, 1, 3, 3, 4
United Kingdom, 9, 12, 16, 19
Australia, 0, 0, 0, 5
