Country, Code, Year, "1, 000"
Algeria, R, 1957, 3.0
Morocco, R, 1956, 5.0
NORTH AMERICA, 0, 0, 0
Alaska, R, 1956, 34.0
Canada, R, 1957, "2, 730.0"
Cuba, R, 1957, 300.0
Dominican Republic, R, 1956, 7.0
El Salvador, R, 1956, 1.0
Guatemala, R, 1957, 11.0
Mexico, R, 1957, 300.0
Nicaragua, R, 1957, 0.5
Panama, R, 1957, 3.5
Puerto Rico, R, 1957, 160.0
United States, R, 1957, "47, 000.0"
SOUTH AMERICA, 0, 0, 0
Argentina, R, 1957, 90.0
Brazil, R, 1957, 350.0
Colombia, R, 1957, 100.0
Uruguay, R, 1956, 1.0
Venezuela, R, 1957, 105.0
Iraq, R, 1957, 2.0
Japan, L, 1957, 650.0
"Korea,  South", R, 1957, 1.5
Philippines, R, 1957, 11.0
Thailand, R, 1957, 10.0
Turkey, R, 1956, 1.0
Austria, L, 1957, 16.0
Belgium, R, 1957, 250.0
Bulgaria, R, 1956, 0.5
Czechoslovakia, L, 1957, 173.0
Denmark, L, 1957, 113.0
Finland, L, 1957, 5.0
France, L, 1957, 683.0
East Germany, R, 1957, 149.0
West Germany, L, 1957, "1, 220.0"
Hungary, L, 1956, 0.6
Ireland, R, 1955, 4.0
Italy, L, 1957, 674.0
Luxembourg, R, 1957, 1.6
Monaco, R, 1957, 6.0
Netherlands, L, 1957, 239.0
Norway, R, 1956, 0.3
Poland, R, 1957, 22.0
Portugal, R, 1956, 1.0
Romania, R, 1957, 1.1
Spain, R, 1957, 3.0
Sweden, L, 1957, 87.0
Switzerland, L, 1957, 31.0
United Kingdom, L, 1957, "7, 761.0"
Yugoslavia, R, 1956, 4.0
Australia, R, 1957, 69.0
USSR, 0, 0, 0
USSR, R, 1956, "1, 324.0"
