Country, 1953, 1954, 1955, 1956, 1957
Morocco, 2, 2, 2, 0, 0
Canada, 12, 9, 26, 33, 40
Cuba, 7, 10, 23, 23, 0
Dominican Republic, 1, 1, 1, 1, 1
Mexico, 12, 14, 12, 12, 12
United States, 356, 439, 482, 511, 544
Argentina, 1, 1, 1, 1, 1
Brazil, 3, 4, 0, 0, 6
Colombia, 0, 3, 4, 7, 8
Uruguay, 0, 0, 0, 1, 0
Venezuela, 0, 3, 3, 3, 4
Japan, 7, 6, 7, 15, 24
Philippines, 1, 2, 2, 2, 2
Thailand, 0, 0, 1, 1, 1
Belgium, 0, 4, 4, 4, 4
Czechoslovakia, 1, 1, 1, 3, 3
Denmark, 1, 1, 2, 3, 4
Finland, 0, 0, 1, 3, 3
France, 4, 5, 11, 16, 25
Germany:, 0, 0, 0, 0, 0
East, 1, 4, 0, 0, 0
West, 29, 61, 68, 63, 75
Saar, 0, 1, 1, 1, 1
Italy, 7, 11, 15, 64, 173
Luxembourg, 0, 0, 1, 1, 1
Monaco, 0, 1, 1, 1, 1
Netherlands, 2, 2, 2, 2, 4
Portugal, 0, 0, 0, 1, 3
Spain, 1, 1, 1, 1, 1
Sweden, 2, 2, 2, 3, 3
Switzerland, 1, 3, 3, 4, 6
United Kingdom, 9, 12, 16, 19, 24
Australia, 0, 0, 0, 5, 6
