Country, Code, 1948, 1953, 1957, 1958
Algeria, L, 157.0, 259.0, 429.0, 444.0
Angola, L, 8.0, 16.0, 33.0, 0
Basutoland, L, 0.4, 0.5, 0.7, 0
Bechuanaland, R, 0.3, 0.4, 1.4, 0
Belgian Congo, L, 6.0, 12.0, 16.0, 0
Br. Somaliland, R, 0.1, 0.6, 1.8, 0
Cameroons [Fr.], R, 0, 1.2, 11.0, 0
Cape Verde Islands, L, 0, 0.7, 1.3, 0
Ethiopia, R, 13.0, 14.0, 50.0, 0
Fr. Eq. Africa, R, 0, 10.0, 0, 0
Fr. Somaliland, R, 0.2, 0.7, 2.0, 0
Fr. W. Africa, R, 0, 50.0, 0, 0
Gambia, R, 0, 0.6, 1.0, 0
Ghana, L, 8.0, 24.0, 83.0, 101.0
Kenya, L, 10.0, 17.0, 24.0, 25.0
Liberia, R, 2.0, 3.0, 10.0, 0
Libya, L, 0, 5.0, 25.0, 0
Malagasy Republic, R, 0, 15.0, 55.0, 0
Mauritius, L, 5.0, 16.0, 26.0, 27.0
Morocco A, L, 86.0, 244.0, 431.0, 497.0
B , R, 0, 0, 20.0, 0
Mozambique, L, 6.0, 12.0, 24.0, 36.0
Nigeria, R, 9.0, 37.0, 61.0, 73.0
Port. Guinea, L, 0.6, 0.8, 1.0, 1.0
Reunion, L, 0, 4.0, 9.0, 11.0
N. Rhodesia, R, 12.0, 0, 40.0, 0
Nyasaland, R, 0.7, 2.0, 4.0, 0
S. Rhodesia, L, 17.0, 24.0, 0, 0
St. Helena , R, 0, 0.3, 0, 0
"Sao Tome,  Principe", L, 0, 0.3, 0, 0
Seychelles, L, 0.1, 0.1, 0.2, 0
Sierra Leone, L, 2.0, 4.0, 8.0, 0
Somaliland [It.], R, 0, 2.0, 0, 0
Sp. Guinea, R, 0, 0.6, 1.0, 1.0
Sp. W. Africa, R, 0, 0.5, 0, 0
Sudan, L, 3.0, 6.0, 7.0, 0
Swaziland, L, 0.4, 0, 0, 0
Tanganyika, R, 1.0, 1.0, 18.0, 19.0
Togoland, R, 0, 0.5, 3.0, 0
Tunisia, L, 43.0, 86.0, 108.0, 101.0
U. of S. Africa, L, 497.0, 653.0, 866.0, 0
"UAR,  Egypt", L, 238.0, 405.0, "1, 000.0", 0
"Zanzibar,  Pemba", R, 0, 3.0, 3.0, 5.0
Alaska, R, 0, 106.0, 120.0, 0
Bahama Islands, L, 2.0, 4.0, 10.0, 16.0
Barbados, L, 4.0, 13.0, 26.0, 28.0
Bermuda, R, 5.0, 16.0, 16.0, 0
Br. Honduras, L, 1.0, 1.0, 1.0, 2.0
Canada, R, "1, 944.0", "4, 014.0", "9, 660.0", 0
Canal Zone, R, 0, 25.0, 0, 0
Costa Rica, R, 23.0, 50.0, 75.0, 0
Cuba, R, 575.0, 900.0, "1, 100.0", 0
Dominican Republic, R, 30.0, 0, 100.0, 150.0
El Salvador, R, 11.0, 21.0, 30.0, 0
Greenland, R, 0.6, 2.0, 0, 0
Guadeloupe, L, 1.0, 3.0, 6.0, 6.0
Guatemala, L, 20.0, 36.0, 0, 0
Haiti, L, 3.0, 14.0, 19.0, 0
Honduras, L, 25.0, 26.0, 32.0, 0
Jamaica, L, 10.0, 9.0, 17.0, 0
Leeward Is.: Antigua, L, 0.4, 0.8, 1.0, 1.0
Martinique, L, 3.0, 4.0, 9.0, 10.0
Mexico, R, 750.0, "2, 000.0", "2, 500.0", 0
Neth. Antilles, R, 15.0, 15.0, 0, 0
