Country, Code, Number 
Algeria, L, 20.0
Bermuda, R, 5.2
Canada, R, "3, 075.0"
Cuba, R, 315.0
Dominican Republic, R, 15.0
El Salvador, R, 10.0
Guatemala, R, 11.0
Mexico, R, 400.0
Nicaragua, R, 2.0
Panama, R, 8.0
Puerto Rico, R, 160.0
United States, R, "50, 250.0"
SOUTH AMERICA, 0, 0
Argentina, R, 220.0
Brazil, R, 700.0
Colombia, R, 140.0
Uruguay, R, 10.0
Venezuela, R, 200.0
Cyprus, R, 1.0
Hong Kong, L, 2.5
Iran, R, 1.5
Iraq, R, 6.0
Japan, L, "1, 600.0"
"Korea,  Rep. of", R, 2.7
Phillippines, R, 18.0
Saudi Arabia, R, 1.0
Thailand, R, 20.0
Turkey, R, 0.5
Austria, L, 49.0
Belgium, L, 223.0
Bulgaria, R, 0.5
Czechoslovakia, L, 328.0
Denmark, L, 214.0
Finland, L, 8.0
France, L, 989.0
"Germany,  Eastern", L, 318.0
"Germany,  Federal Republic of", L, "2, 125.0"
Hungary, L, 16.0
Ireland, R, 30.0
Italy, L, "1, 098.0"
Luxembourg, R, 4.0
Monaco, R, 10.0
Netherlands, L, 391.0
Norway, L, 0.5
Poland, L, 85.0
Portugal, L, 13.0
Romania, L, 12.0
Spain, R, 21.0
Sweden, L, 244.0
Switzerland, L, 50.0
United Kingdom, L, "8, 899.0"
Yugoslavia, L, 7.0
Australia, R, 400.0
Guam, R, 1.2
Hawaii, R, 200.0
USSR, R, "1, 767.0"
