Country, Code, Number
Algeria, L, 38
Bermuda, R, 8.0
Canada, R, "13, 420.0"
Cuba, R, 365.0
Dominican Republic, R, 16.0
El Salvador, R, 16.0
Guatemala, R, 20.0
Mexico, R, 600.0
Nicaragua, R, 6.0
Panama, R, "42, 802.0"
United States, R, "52, 600.0"
Argentina, R, "6, 400.0"
Brazil, R, 850.0
Colombia, R, 150.0
Peru, R, 28.0
Uruguay, R, 15.0
Venezuela, R, 200.0
China (Mainland), R, 11.0
Cyprus, L, 1.0
Hong Kong, L, 3.4
Iran, R, 113.0
Iraq, R, 10.0
Japan, L, "3, 299.0"
"Korea,  Rep. of", R, 710.0
Lebanon, R, 7.5
Philippines, R, 25.0
Saudi Arabia, R, 2.5
Thailand, R, 38.0
Turkey, R, 1.0
Austria, L, 112.0
Belgium, L, 392.0
Bulgaria, R, 1.5
Czechoslovakia, L, 519.0
Denmark, L, 337.0
Finland, L, 32.0
France, L, "1, 368.0"
"Germany,  Eastern", L, 593.0
"Germany,  Federal Republic of", L, "3, 375.0"
Hungary, L, 53.0
Ireland, R, 40.0
Italy, L, "1, 573.0"
Luxembourg, R, 4.8
Malta and Gozo, L, 6.5
Monaco, R, 11.0
Netherlands, L, 530.0
Norway, L, 3.5
Poland, L, 238.0
Portugal, L, 28.0
Romania, L, 22.0
Spain, L, 140.0
Sweden, L, 602.0
Switzerland, L, 79.0
United Kingdom, L, "910, 114.0"
Yugoslavia, L, 12.0
Australia, L, 738.0
USSR, L, "3, 568.0"
