Country, Code, 1948, 1960, 1961, 1962
Algeria, L, 157.0, 596.0, 674.0, 0
Angola, L, 8.0, 53.0, 58.0, 64.0
Basutoland, L, 30.4, 4.0, 4.0, 4.0
Bechuanaland, L, 20.3, 2.1, 2.2, 2.8
Cameroon, L, 0, 9.9, 0, 0
Cape Verde Is., L, 0, 1.8, 2.3, 0
Central African Republic, L, 0, 12.0, 0, 0
Chad, L, 0, 6.0, 15.0, 18.0
Congo (Brazzaville), L, 0, 11.0, 0, 0
Congo (Leopoldville), L, 6.0, 35.0, 0, 0
Dahomey, L, 0, 25.0, 30.0, 35.0
Ethiopia, R, 13.0, 85.0, 100.0, 0
Fr. Somaliland, L, 20.2, 5.0, 8.0, 0
Gabon, L, 0, 20.0, 25.0, 25.0
Gambia, R, 0, 2.0, 2.5, 0
Ghana, L, 8.0, "18, 109.0", 130.0, 0
Guinea, L, 0, 40.0, 40.0, 0
Ivory Coast, L, 0, 55.0, 0, 0
Kenya, L, 10.0, 57.0, 55.0, 61.0
Liberia, R, 22.0, 100.0, 0, 0
Libya, R, 0, 73.0, 0, 0
Madagascar, R, 0, 82.0, 0, 125.0
Mali, L, 0, 8.0, 10.0, 0
Mauritania, L, 0, 12.0, 20.0, 0
Mauritius, L, 5.0, 40.0, 45.0, 51.0
Morocco, L, 586.0, 532.0, 543.0, 575.0
Mozambique, L, 6.0, 37.0, 0, 0
Niger, L, 0, 2.3, 10.0, 10.0
Nigeria, L, 9.0, 143.0, 0, 0
Port. Guinea, L, 20.5, 1.8, 1.9, 2.0
Reunion, L, 22.0, 14.0, 18.0, 23.0
"Rhodesia,  Nyasaland,  Fed. of", L, 230.0, 100.0, 150.0, 0
Sao Tome and Prinicipe, L, 20.2, 0.9, 0.7, 0.9
Senegal, 0, 0, "18, 125.0", 0, 0
Seychelles, L, 0.1, 0.5, 0.6, 0
Sierra Leone, L, 2.0, 9.2, 9.6, 9.2
Somalia, R, 23.3, 24.0, 24.0, 25.0
South Africa, L, 497.0, 996.0, "1, 068.0", 0
So. West Africa, L, 28.0, 619.0, 0, 0
Sudan, L, 3.0, 11.0, 0, 0
Swaziland, L, 20.5, 1.8, 2.2, 0
Tanganyika, L, 1.0, 15.0, 34.0, 0
Togo, L, 0, 5.3, 6.3, 0
Tunisia, L, 43.0, 170.0, 270.0, 0
Uganda, L, 21.0, "1, 890.0", 390.0, 92.0
United Arab Republic, L, "1, 238.0", "1, 500.0", "1, 750.0", "1, 800.0"
Upper Volta, L, 0, 3.0, 0, 0
"Zanzibar,  Pemba", L, 0, 5.1, 5.1, 8.0
Antigua, L, 0.4, 2.8, 2.9, 0
Bahama Islands, L, 12.0, 16.0, 18.0, 0
Barbados, L, 4.0, 35.0, 38.0, 42.0
Bermuda, R, 5.0, 19.0, 21.0, 0
Br. Honduras, L, 11.0, 2.2, 2.4, 0
Canada, R, "1, 944.0", "8, 050.0", "9, 200.0", 0
Costa Rica, R, 223.0, 77.0, 81.0, 0
Cuba, R, "2, 575.0", "1, 100.0", "1, 300.0", 0
Dominica, L, 0, 3.0, 0, 0
Dominican Rep., R, 30.0, 102.0, 150.0, 0
El Salvador, R, 0, 225.0, 353.0, 358.0
Grenada, L, 20.8, 62.6, 0, 0
Guadeloupe, L, 21.0, 6.4, 6.4, 6.5
Guatemala, L, 127.0, 210.0, 210.0, 0
Haiti, R, 4.0, 21.0, 21.0, 0
Honduras, R, 20.0, 125.0, 125.0, 0
Jamaica, R, 223.0, "18, 147.0", 200.0, 0
Martinique, L, 22.0, 13.0, 15.0, 16.0
Mexico, R, 700.0, "3, 300.0", "3, 500.0", "4, 600.0"
Montserrat, L, 0, 0.5, 0.5, 0
Neth. Antilles, R, 234.0, "1, 839.0", 0, 0
Nicaragua, R, 0, "1, 875.0", 100.0, 100.0
Panama, R, 181.0, "18, 163.0", 186.0, 0
St. Lucia, L, 70.4, 2.0, 2.2, 0
