Country or Area, Total: metric tons, "Per 1, 000 inhabitants: kilograms, 1970, 1975, 1980, 1985, 1989, 1970, 1975, 1980, 1985, 1989
Algeria, "6, 200", "8, 900", "12, 000", "15, 600", "4, 400", 451, 556, 643, 719, 181
Angola, 0, "1, 100", "1, 500", 500, 500, 0, 169, 194, 57, 51
Benin, 0, 100, 100, 100, 100, 0, 33, 29, 25, 22
Cameroon, 100, 0, 500, "2, 100", 0, 15, 0, 58, 209, 0
Cote dIvoire, 900, 800, 800, "1, 400", "2, 200", 163, 118, 96, 137, 191
Egypt, "32, 900", "40, 200", "67, 000", "35, 300", "84, 300", 995, "1, 108", "1, 614", 742, "1, 648"
Ethiopia, 900, 400, "2, 000", "2, 200", "2, 300", 29, 12, 52, 52, 48
Ghana, "3, 600", "7, 300", "1, 500", "4, 000", "1, 800", 418, 743, 140, 312, 124
Guinea-Bissau, 0, 100, 100, 200, 200, 0, 159, 123, 225, 212
Kenya, "5, 000", "3, 900", "7, 900", "9, 500", "13, 400", 435, 284, 475, 467, 578
Liberia, 100, 0, 0, 200, 100, 73, 0, 0, 92, 40
Libyan Arab Jamahiriya, 800, 100, 800, "2, 000", "2, 000", 403, 41, 263, 528, 457
Madagascar, 300, 817, "3, 500", 800, 240, 44, 108, 399, 78, 21
Malawi, 200, 500, 600, 600, 500, 44, 95, 99, 84, 59
Mali, 200, 100, 0, 0, 0, 35, 16, 0, 0, 0
Mauritius, 600, 600, 500, "1, 400", "2, 100", 708, 690, 523, "1, 351", "1, 959"
Morocco, "3, 100", "2, 800", "5, 400", "4, 800", "11, 800", 202, 162, 279, 217, 483
Mozambique, 200, "1, 700", "1, 500", 100, 800, 21, 162, 124, 7, 52
Niger, 0, 150, 100, 500, 500, 0, 32, 19, 82, 67
Nigeria, "17, 100", "23, 700", "29, 000", "14, 800", "52, 800", 299, 350, 360, 155, 503
Reunion, 400, 500, "1, 000", "3, 100", "2, 200", 905, "1, 033", "1, 969", "5, 678", "3, 735"
Senegal, 500, "1, 800", 900, "1, 000", "1, 000", 125, 377, 159, 155, 140
Sierra Leone, 200, 100, 200, 200, 200, 75, 34, 61, 55, 49
Somalia, 500, 300, 200, 100, 100, 136, 72, 37, 16, 14
South Africa, "212, 500", "195, 800", "154, 000", "120, 100", "204, 100", "9, 462", "7, 737", "5, 445", "3, 801", "5, 913"
Sudan, "2, 700", "3, 400", "1, 500", "5, 000", "2, 300", 195, 212, 80, 229, 94
Tunisia, 0, "2, 900", "5, 500", "9, 900", "10, 000", 0, 517, 862, "1, 363", "1, 252"
Uganda, "1, 000", 500, 200, 200, 200, 102, 45, 15, 13, 11
United Rep.Tanzania, "1, 500", "4, 500", "3, 500", "2, 500", "11, 500", 111, 283, 186, 110, 437
Zaire, 500, "1, 000", "1, 000", "1, 000", "1, 000", 26, 45, 38, 33, 29
Zambia, "2, 100", "4, 300", "3, 000", "3, 000", "3, 000", 501, 888, 523, 428, 369
Zimbabwe, "10, 000", "12, 000", "16, 000", "18, 400", "19, 300", "1, 897", "1, 950", "2, 242", "2, 216", "2, 052"
Bahamas, "1, 000", 600, "9, 000", 400, 400, "5, 848", "2, 941", "42, 857", "1, 653", "1, 606"
Barbados, 900, 500, "1, 500", "1, 400", "2, 400", "3, 766", "2, 041", "6, 024", "5, 534", "9, 412"
Belize, 200, 200, 200, 200, 200, "1, 667", "1, 527", "1, 379", "1, 227", "1, 099"
Canada, "656, 700", "661, 200", "918, 200", "716, 300", "1, 493, 000", "30, 795", "29, 093", "38, 354", "28, 224", "56, 809"
Costa Rica, "11, 100", "11, 200", "12, 000", "11, 000", "8, 500", "6, 409", "5, 691", "5, 256", "4, 164", "2, 893"
Cuba, "22, 800", "26, 700", "32, 000", "43, 200", "38, 600", "2, 660", "2, 862", "3, 288", "4, 343", "3, 670"
Dominican Republic, "4, 200", "6, 600", "12, 400", "7, 800", "11, 700", 950, "1, 307", "2, 177", "1, 216", "1, 667"
El Salvador, "13, 000", "10, 200", "15, 000", "12, 700", "11, 500", "3, 623", "2, 498", "3, 314", "2, 664", "2, 226"
Guatemala, "8, 300", "8, 100", "17, 000", "7, 200", "12, 000", "1, 582", "1, 345", "2, 458", 904, "1, 342"
Haiti, 700, 800, 300, 400, 400, 156, 161, 55, 68, 63
Honduras, "2, 700", "2, 100", "6, 500", "6, 400", "7, 300", "1, 028", 681, "1, 774", "1, 460", "1, 466"
Jamaica, "8, 600", "8, 700", "3, 500", "4, 500", "28, 900", "4, 601", "4, 258", "1, 610", "1, 926", "11, 893"
Martinique, 0, 0, 800, "1, 200", "3, 000", 0, 0, "2, 446", "3, 659", "8, 824"
Mexico, "158, 800", "214, 600", "226, 000", "297, 500", "446, 000", "3, 009", "3, 466", "3, 210", "3, 748", "5, 141"
Netherlands Antilles, 600, 500, 600, "2, 100", "2, 100", "2, 703", "2, 092", "2, 381", "11, 667", "11, 230"
Nicaragua, "3, 700", "4, 000", "3, 000", "5, 000", "6, 300", "1, 801", "1, 661", "1, 082", "1, 528", "1, 683"
Panama, "5, 900", "3, 400", "2, 600", "6, 300", "1, 700", "3, 854", "1, 945", "1, 330", "2, 889", 717
Trinidad and Tobago, "5, 600", "6, 300", "5, 100", "11, 900", "5, 000", "5, 858", "6, 250", "4, 653", "10, 042", "3, 965"
United States, "9, 032", "8, 503", "10, 673", "12, 324", "12, 854", "44, 048", "39, 372", "46, 861", "51, 502", "52, 026"
Argentina, "277, 400", "148, 800", "270, 800", "203, 300", "262, 500", "11, 577", "5, 712", "9, 590", "6, 703", "8, 222"
Bolivia, "4, 700", "4, 700", "6, 000", "3, 000", "8, 100", "1, 087", 961, "1, 077", 471, "1, 138"
Brazil, "211, 600", "240, 700", "271, 600", "299, 000", "369, 600", "2, 208", "2, 228", "2, 239", "2, 206", "2, 508"
Chile, "46, 100", "41, 700", "68, 000", "56, 000", "49, 400", "4, 850", "4, 029", "6, 101", "4, 620", "3, 812"
Colombia, "59, 200", "44, 400", "71, 000", "77, 500", "72, 800", "2, 846", "1, 916", "2, 753", "2, 699", "2, 248"
Ecuador, "13, 900", "10, 800", "32, 600", "39, 600", "22, 000", "2, 297", "1, 535", "4, 013", "4, 223", "2, 130"
Guyana, "1, 200", "1, 400", "1, 500", 500, 500, "1, 690", "1, 793", "1, 734", 525, 629
Paraguay, "4, 100", "3, 100", "8, 000", "8, 000", "6, 700", "1, 744", "1, 157", "2, 542", "2, 166", "1, 614"
Peru, "49, 400", "51, 300", "36, 500", "39, 000", "85, 000", "3, 744", "3, 383", "2, 110", "1, 980", "4, 023"
Suriname, 500, 400, 600, "1, 000", 900, "1, 337", "1, 099", "1, 690", "2, 667", "2, 174"
Uruguay, "20, 800", "10, 600", "15, 200", "7, 500", "5, 500", "7, 407", "3, 747", "5, 227", "2, 490", "1, 785"
Venezuela, "84, 300", "85, 600", "141, 000", "136, 000", "96, 000", "7, 951", "6, 758", "9, 386", "7, 854", "4, 992"
Afghanistan, 0, "1, 200", 100, 0, 0, 0, 78, 6, 0, 0
Bangladesh, "36, 000", "14, 700", "19, 000", "28, 900", "49, 000", 540, 192, 215, 286, 435
Brunei Darussalam, 100, 200, 200, 400, 400, 769, "1, 282", "1, 081", "1, 786", "1, 563"
China, "392, 600", "395, 400", "499, 800", "784, 200", "999, 900", 473, 426, 502, 740, 891
Cyprus, "1, 700", "1, 300", "2, 600", "3, 200", "3, 100", "2, 764", "2, 131", "4, 134", "4, 812", "4, 473"
Hong Kong, "45, 000", "53, 300", "75, 800", "113, 900", "167, 000", "11, 416", "12, 125", "15, 043", "20, 876", "28, 983"
India, "181, 500", "152, 800", "310, 000", "378, 000", "510, 000", 327, 246, 450, 491, 610
Indonesia, "43, 600", "46, 700", "66, 000", "157, 200", "133, 800", 362, 344, 437, 944, 740
"Iran,  Islamic Rep. of Iran", "10, 900", "32, 800", "14, 000", "18, 000", "10, 000", 384, 984, 360, 378, 188
Iraq, "3, 100", "4, 900", "14, 000", "20, 000", "34, 000", 331, 445, "1, 053", "1, 258", "1, 860"
Israel, "34, 000", "37, 700", "38, 100", "49, 700", "69, 000", "11, 429", "10, 912", "9, 825", "11, 741", "15, 269"
Japan, "1, 973", "2, 082", "2, 703", "2, 841", "3, 560", "18, 911", "18, 670", "23, 144", "23, 530", "28, 977"
Jordan, 600, 700, "2, 600", "8, 400", "8, 900", 261, 269, 889, "2, 396", "2, 290"
"Korea,  Dem. P. R.", "1, 300", "1, 300", "1, 300", "3, 200", "3, 200", 94, 82, 72, 157, 150
"Korea,  Republic of ", "108, 300", "150, 600", "227, 000", "230, 800", "427, 500", "3, 392", "4, 269", "5, 954", "5, 622", "10, 070"
Kuwait, 0, "4, 800", "19, 000", "18, 000", "20, 000", 0, "4, 762", "13, 818", "10, 526", "10, 204"
Lao Peoples Dem. Rep., 300, 200, 200, 0, 0, 111, 66, 62, 0, 0
Lebanon, "5, 100", "6, 300", "7, 000", "4, 700", "3, 900", "2, 066", "2, 277", "2, 621", "1, 762", "1, 447"
Macau, "3, 700", "2, 800", "6, 200", 0, 0, "15, 102", "10, 769", "19, 195", 0, 0
Malaysia, "38, 200", "33, 900", "65, 900", "100, 000", "78, 000", "3, 520", "2, 766", "4, 788", "6, 473", "4, 480"
Mongolia, "2, 400", "2, 600", "2, 300", "3, 800", "3, 800", "1, 923", "1, 799", "1, 382", "1, 992", "1, 783"
Myanmar, "15, 900", "6, 500", "4, 000", "7, 500", "11, 600", 587, 214, 118, 200, 284
Nepal, 0, 0, 0, "1, 200", "1, 300", 0, 0, 0, 71, 70
Oman, 0, 0, 0, 700, 600, 0, 0, 0, 564, 416
Pakistan, 500, "6, 700", "33, 100", "40, 400", "52, 700", 8, 90, 388, 391, 445
Philippines, "75, 500", "68, 800", "100, 000", "58, 000", "103, 300", "2, 011", "1, 616", "2, 070", "1, 052", "1, 696"
Saudi Arabia, 500, "2, 300", "13, 000", "28, 000", "28, 000", 87, 317, "1, 387", "2, 415", "2, 064"
Singapore, "23, 600", "28, 200", "55, 700", "56, 900", "78, 600", "11, 373", "12, 461", "23, 074", "22, 235", "29, 274"
Sri Lanka, "18, 300", "6, 500", "8, 000", "17, 200", "10, 000", "1, 462", 478, 540, "1, 068", 588
Syrian Arab Republic, "1, 500", 900, "3, 700", "5, 600", "4, 600", 240, 121, 420, 535, 380
Thailand, "36, 300", "63, 400", "91, 600", "137, 800", "136, 700", "1, 016", "1, 533", "1, 961", "2, 670", "2, 490"
Turkey, "26, 100", "98, 200", "157, 400", "166, 000", "136, 000", 739, "2, 453", "3, 542", "3, 297", "2, 485"
Viet Nam, "21, 700", "2, 000", "2, 500", "10, 000", "11, 000", 508, 42, 47, 167, 168
Yemen, 0, 100, 500, 300, 300, 0, 60, 269, 140, 124
Austria, "103, 400", "120, 800", "138, 400", "247, 300", "238, 600", "13, 883", "16, 062", "18, 329", "32, 965", "31, 503"
Belgium, "179, 700", "161, 900", "197, 000", "221, 500", "281, 000", "18, 610", "16, 527", "19, 998", "22, 367", "28, 554"
