Country or area, Code, 1975, 1980, 1985, 1991, 1975, 1980, 1985, 1991
Algeria, T, 500, 975, "1, 500", "1, 900", 31, 52, 69, 74
Algeria, R, "3, 000", "3, 700", "4, 800", "6, 000", 187, 197, 220, 234
Angola, T, 0, 30, 37, 59, 0, 4, 5, 6
Angola, R, 118, 145, 217, 270, 19, 21, 27, 28
Benin, T, 0, 5, 15, 24, 0, 1, 4, 5
Benin, R, 150, 230, 300, 428, 49, 66, 75, 90
Botswana, T, 0, 0, 0, 21, 0, 0, 0, 16
Botswana, R, 57, 75, 115, 155, 75, 83, 108, 122
Burkina Faso, T, 9, 20, 37, 49, 2, 3, 5, 5
Burkina Faso, R, 100, 125, 150, 245, 16, 18, 19, 26
Burundi, T, 0, 0, 0, 5, 0, 0, 0, 1
Burundi, R, 100, 160, 250, 340, 27, 39, 53, 60
Cameroon, T, 0, 0, 0, 279, 0, 0, 0, 24
Cameroon, R, 232, 760, "1, 200", "1, 725", 31, 88, 120, 145
Cape Verde, R, 31, 41, 50, 61, 112, 142, 154, 164
Central African Rep., T, 0, 1, 5, 14, 0, 0, 2, 4
Central African Rep., R, 70, 120, 150, 210, 34, 52, 57, 68
Chad, T, 0, 0, 0, 7, 0, 0, 0, 1
Chad, R, 500, 750, "1, 150", "1, 385", 124, 168, 229, 243
Comoros, T, 0, 0, 0, 0, 0, 0, 0, 0
Comoros, R, 36, 44, 53, 72, 114, 120, 123, 128
Congo, T, 3, 4, 5, 14, 2, 2, 3, 6
Congo, R, 81, 100, 138, 260, 56, 60, 72, 113
Cote dIvoire, T, 110, 310, 500, 730, 16, 38, 50, 59
Cote dIvoire, R, 300, "1, 000", "1, 300", "1, 765", 44, 122, 131, 142
Djibouti, T, 3, 5, 12, 24, 12, 16, 32, 53
Djibouti, R, 12, 21, 30, 39, 49, 69, 79, 86
Egypt, T, 620, "1, 400", "3, 860", "6, 200", 17, 34, 83, 116
Egypt, R, "4, 900", "6, 000", "12, 000", "17, 500", 135, 147, 258, 326
Equatorial Guinea, T, 0, 1, 2, 3, 2, 5, 7, 9
Equatorial Guinea, R, 78, 87, 128, 153, 347, 401, 410, 425
Ethiopia, T, 20, 30, 70, 130, 1, 1, 2, 3
Ethiopia, R, "1, 000", "3, 000", "8, 000", "9, 700", 29, 77, 186, 189
Gabon, T, 7, 9, 22, 45, 11, 12, 22, 37
Gabon, R, 80, 105, 132, 171, 126, 130, 134, 143
Gambia, R, 59, 73, 105, 150, 108, 114, 141, 170
Ghana, T, 33, 57, 150, 235, 3, 5, 12, 15
Ghana, R, "1, 060", "1, 700", "2, 500", "4, 150", 108, 158, 195, 268
Guinea, T, 0, 6, 8, 42, 0, 1, 2, 7
Guinea, R, 110, 135, 180, 248, 27, 30, 36, 42
