Country or area, Number of titles, Total average daily circulation or copies printed(thousands), Circulation or copies printed per 1000 inhabitants, 1997, 1998, 1999, 2000, 1997, 1998, 1999, 2000, 1997, 1998, 1999, 2000
Africa, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Algeria, 18, 24, 0, 0, 761, 796, 0, 0, 25.9, 27.3, 0, 0
Benin, 0, 0, 13, 0, 0, 0, 33, 0, 0, 0, 5.3, 0
Burundi, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Chad, 2, 2, 0, 0, 2, 2, 0, 0, 0.2, 0.2, 0, 0
Egypt, 14, 15, 16, 0, 2100, 2332, 2080, 0, 32.4, 35.6, 31.2, 0
Ethiopia, 2, 2, 0, 0, 23, 23, 0, 0, 0.4, 0.4, 0, 0
Mauritius, 8, 6, 6, 5, 88, 82, 116, 138, 77.7, 71.7, 100.7, 118.8
Morocco, 21, 22, 22, 23, 657, 715, 728, 846, 24.4, 24.8, 24.8, 28.3
Mozambique, 12, 12, 0, 0, 43, 43, 0, 0, 2.3, 2.5, 0, 0
Senegal, 4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Togo, 0, 0, 1, 1, 0, 0, 10, 10, 0, 0, 2.3, 2.2
Tunisia, 0, 0, 0, 7, 0, 0, 0, 180, 0, 0, 0, 19
Zambia, 0, 0, 0, 0, 0, 0, 0, 228, 0, 0, 0, 21.9
"America,  North", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Bermuda, 0, 0, 1, 1, 0, 0, 15, 15, 0, 0, 0, 0
Costa Rica, 8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0
Cuba Cuba, 0, 0, 2, 2, 0, 0, 565, 600, 0, 0, 50.7, 53.6
Dominican Republic, 10, 10, 10, 9, 0, 0, 230, 230, 0, 0, 27.9, 27.5
El Salvador, 4, 4, 0, 0, 219, 171, 0, 0, 37.1, 28.3, 0, 0
Mexico, 0, 0, 300, 311, 0, 0, 9332, 9251, 0, 0, 95.9, 93.6
"America,  South", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
