Number and per 100 inhabitants"

Country or area, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005

Afghanistan

Number, 0, 0, 0, 0, 25000, 200000, 600000, 1200000

Per 100 inhabitants, 0, 0, 0, 0, 0, 1, 2, 4

Albania

Number, 5600, 11008, 29791, 392650, 851000, 1100000, 1259590, 

Per 100 inhabitants, 0, 0, 1, 13, 28, 36, 39, 

Algeria

Number, 18000, 72000, 86000, 100000, 450244, 1446927, 4882414, 13661355

Per 100 inhabitants, 0, 0, 0, 0, 1, 5, 15, 42

American Samoa

Number, 1500, 1800, 1992, 2156, 2036, 2100, 2250, 

Per 100 inhabitants, 3, 3, 3, 4, 3, 3, 4, 

Andorra

Number, 14117, 20600, 23543, 29429, 32790, 51893, 62600, 64560

Per 100 inhabitants, 21, 31, 36, 45, 49, 78, 87, 96

Angola

Number, 9820, 24000, 25806, 75000, 140000, 350000, 740000, 1094115

Per 100 inhabitants, 0, 0, 0, 1, 1, 2, 5, 10

Anguilla

Number, 787, 1475, 2163, 1773, 2974, 8844, 13101, 20995

Antigua and Barbuda

Number, 1500, 8500, 22000, 25000, 38205, 0, 54000, 86000

Per 100 inhabitants, 2, 11, 29, 32, 49, 0, 67, 106

Argentina+

Number, 2670862, 3848869, 6487950, 6741791, 6566740, 7842233, 13512383, 22100000

Per 100 inhabitants, 7, 11, 18, 18, 18, 21, 35, 57

Armenia

Number, 7831, 8161, 17486, 25504, 71349, 114379, 203309, 320000

Per 100 inhabitants, 0, 0, 1, 1, 2, 4, 7, 11

Aruba

Number, 5380, 12000, 15000, 53000, 61800, 69952, 98389, 108200

Per 100 inhabitants, 6, 13, 16, 57, 65, 72, 100, 135

Australia

Number, 4918000, 6315000, 8562000, 11132000, 12575000, 14347000, 16480000, 18420000

Per 100 inhabitants, 26, 33, 45, 57, 65, 72, 83, 91

Austria

Number, 2292900, 4250393, 6117000, 6541000, 6736000, 7094502, 7989955, 8160000

Per 100 inhabitants, 29, 53, 76, 81, 83, 89, 97, 106

Azerbaijan

Number, 65000, 370000, 420400, 730000, 794000, 1057000, 1456523, 2242000

Per 100 inhabitants, 1, 5, 5, 9, 10, 13, 17, 27

Bahamas

Number, 8072, 15911, 31524, 60555, 121759, 116267, 186007, 227800

Per 100 inhabitants, 3, 5, 10, 20, 39, 39, 58, 71

Bahrain

Number, 92063, 133468, 205727, 299587, 388990, 443109, 649764, 748703

Per 100 inhabitants, 14, 20, 31, 44, 56, 63, 91, 103

Bangladeshi

Number, 75000, 149000, 279000, 520000, 1075000, 1365000, 2781560, 9000000

Per 100 inhabitants, 0, 0, 0, 0, 1, 1, 2, 6

Barbados

Number, 12000, 20309, 28467, 53111, 97193, 140000, 200138, 206190

Per 100 inhabitants, 5, 8, 11, 20, 36, 52, 74, 77

Belarus

Number, 12155, 23457, 49353, 138329, 462630, 1118000, 2239287, 4097997

Per 100 inhabitants, 0, 0, 0, 1, 5, 11, 23, 42

Belgium

Number, 1756287, 3186602, 5629000, 7697000, 8101777, 8605834, 9131705, 9460000

Per 100 inhabitants, 17, 31, 55, 75, 78, 83, 87, 90

Belize

Number, 3535, 6591, 16812, 39155, 51729, 60403, 91663, 93089

Per 100 inhabitants, 2, 3, 7, 15, 20, 23, 35, 44

Benin

Number, 6286, 7269, 55476, 125000, 218770, 236175, 386680, 750000

Per 100 inhabitants, 0, 0, 1, 2, 3, 3, 5, 10

Bermuda

Number, 12572, 12800, 13000, 13333, 30000, 40000, 49000, 

Per 100 inhabitants, 20, 20, 21, 21, 47, 63, 77, 

Bhutan

Number, 0, 0, 0, 0, 0, 7998, 19138, 37842

Per 100 inhabitants, 0, 0, 0, 0, 0, 1, 2, 5

Bolivia

Number, 239272, 420344, 582620, 779917, 1023333, 1278844, 1800789, 2421402

Per 100 inhabitants, 3, 5, 7, 9, 12, 14, 20, 26

Bosnia and Herzegovina

Number, 25181, 52607, 93386, 444711, 748780, 1074790, 1407441, 1594367

Per 100 inhabitants, 1, 1, 2, 12, 20, 28, 36, 41

Botswana

Number, 15190, 92000, 200000, 316000, 435000, 522840, 563782, 823070

Per 100 inhabitants, 1, 6, 14, 20, 26, 30, 32, 47

Brazil

Number, 7368218, 15032698, 23188171, 28745769, 34880964, 46373266, 65605000, 86210000

Per 100 inhabitants, 4, 9, 13, 16, 20, 26, 36, 46

British Virgin lslands

Number, 0, 0, 0, 0, 8000, 0, 0, 

Brunei Darussalam

Number, 49129, 66000, 95000, 143000, 153640, 177370, 202450, 232900

Per 100 inhabitants, 16, 21, 29, 42, 45, 51, 57, 62

Bulgaria

Number, 127000, 350000, 738000, 1550000, 2597548, 3500869, 4729731, 6244693

Per 100 inhabitants, 2, 4, 9, 20, 33, 45, 61, 81

Burkina Faso

Number, 2730, 5036, 25245, 76000, 113000, 227000, 398000, 572200

Per 100 inhabitants, 0, 0, 0, 1, 1, 2, 3, 5

Burundi

Number, 620, 800, 16320, 33416, 52000, 64000, 100560, 153000

Per 100 inhabitants, 0, 0, 0, 0, 1, 1, 1, 2

Cambodia

Number, 61345, 89117, 130547, 223458, 380000, 498388, 861500, 1062000

Per 100 inhabitants, 1, 1, 1, 2, 3, 4, 6, 8

Cameroon

Number, 5000, 6000, 103279, 417295, 701507, 1077000, 1536594, 2179035

Per 100 inhabitants, 0, 0, 1, 3, 4, 7, 9, 14

Canada

Number, 5346000, 6911038, 8727000, 10649000, 11872000, 13228000, 14984396, 16600000

Per 100 inhabitants, 18, 23, 28, 34, 38, 42, 47, 53

Cape Verde

