Country or area, Fiscal year, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 0, 0, 0, 0, 

Afghanistan

Number (thousands), 0, 50, 100, 90, 81, 101, 129, 140, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 0.2, 0.4, 0.3, 0.3, 0.3, 0.4, 0.5, 0, 0, 0, 0, 

Albania

Number (thousands), 0, 275, 279, 256, 300, 344, 363, 332, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 8.8, 8.9, 8.1, 9.5, 10.8, 11.4, 10.4, 0, 0, 0, 0, 

Algeria

Number (thousands), 0, 2487, 2572, 2841, 3068, 3069, 2576, 2923, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 7.7, 7.8, 8.5, 9.1, 8.9, 7.4, 8.2, 0, 0, 0, 0, 

American Samoa

Number (thousands), 0, 10, 10, 10, 10, 10, 10, 10, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 16.7, 16.5, 16.2, 16, 15.7, 15.5, 15.2, 0, 0, 0, 0, 

Andorra

Number (thousands), 0, 35, 35, 37, 37, 37, 38, 38, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 46.5, 45.5, 45.7, 45.7, 45.3, 45.3, 45, 0, 0, 0, 0, 

Angola

Number (thousands), 0, 94, 97, 98, 94, 114, 303, 303, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 0.6, 0.6, 0.6, 0.5, 0.6, 1.6, 1.6, 0, 0, 0, 0, 

Anguilla

Number (thousands), 0, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 43.4, 40.7, 41.6, 41.8, 42.5, 41.6, 41, 0, 0, 0, 0, 

Antigua and Barbuda

Number (thousands), 1 (01/04), 38, 36, 38, 38, 38, 37, 42, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 45.9, 43.5, 44.1, 44.1, 43.7, 42.5, 47.1, 0, 0, 0, 0, 

Argentina

Number (thousands), (30/09), 8761, 9442, 9460, 9500, 9743, 9768, 10000, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 22.9, 24.4, 24.2, 24.1, 24.5, 24.4, 24.7, 0, 0, 0, 0, 

Armenia

Number (thousands), 0, 579, 594, 604, 625, 626, 630, 590, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 18.9, 19.4, 19.7, 20.3, 20.3, 20.4, 19.1, 0, 0, 0, 0, 

Aruba

Number (thousands), 0, 38, 38, 39, 39, 38, 37, 35, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 38.4, 37.9, 37.6, 37, 36.5, 34.4, 32.6, 0, 0, 0, 0, 

Australia

Number (thousands), (30/06), 10370, 10120, 9940, 9760, 9370, 9020, 8660, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 51.6, 49.6, 47.9, 46.2, 43.6, 41.2, 38.9, 0, 0, 0, 0, 

Austria

Number (thousands), 0, 3821, 3739, 3605, 3407, 3285, 3253, 3245, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 46.7, 45.4, 43.6, 41, 39.4, 38.9, 38.7, 0, 0, 0, 0, 

Azerbaijan

Number (thousands), 0, 1013, 1094, 1177, 1253, 1311, 1401, 1500, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 12, 12.7, 13.5, 14.2, 14.7, 15.5, 16.3, 0, 0, 0, 0, 

Bahamas

Number (thousands), 0, 140, 133, 132, 133, 133, 129, 129, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 44.5, 41.7, 40.6, 40.4, 39.8, 38.1, 37.7, 0, 0, 0, 0, 

Bahrain

Number (thousands), 0, 192, 194, 194, 204, 220, 238, 228, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 28.5, 26.7, 23.9, 22, 20.9, 20.4, 18.1, 0, 0, 0, 0, 

Bangladesh

Number (thousands), (30/06), 831, 1070, 1134, 1187, 1344, 1523, 900, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 0.6, 0.8, 0.8, 0.8, 0.9, 1, 0.6, 0, 0, 0, 0, 

Barbados

