Country or area, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011

Afghanistan

Number (thousands), 600, 1200, 2520, 4668, 7899, 10500, 13000, 17558

Per 100 inhabitants, 2, 4, 9, 16, 26, 34, 41, 54

Albania

Number (thousands), 1260, 1530, 1910, 2322, 1860, 2464, 2692, 3100

Per 100 inhabitants, 40, 49, 61, 73, 58, 77, 84, 96

Algeria

Number (thousands), 4882, 13661, 20998, 27563, 27031, 32730, 32780, 35616

Per 100 inhabitants, 15, 42, 63, 81, 79, 94, 92, 99

American Samoa

Number (thousands), 2, 0, 0, 0, 0, 0, 0, 

Per 100 inhabitants, 4, 0, 0, 0, 0, 0, 0, 

Andorra

Number (thousands), 58, 65, 69, 64, 64, 65, 65, 65

Per 100 inhabitants, 78, 83, 86, 78, 78, 77, 77, 75

Angola

Number (thousands), 740, 1611, 3055, 4962, 6773, 8109, 8909, 94911

Per 100 inhabitants, 5, 10, 18, 28, 38, 44, 47, 481

Anguilla

Number (thousands), 74, 13, 17, 24, 26, 25, 26, 26

Per 100 inhabitants, 554, 96, 122, 163, 180, 165, 167, 166

Antigua and Barbuda

Number (thousands), 54, 86, 110, 112, 137, 135, 168, 163

Per 100 inhabitants, 65, 102, 130, 131, 157, 154, 189, 182

Argentina

Number (thousands), 13512, 22156, 31510, 40402, 46509, 52483, 53700, 550001

Per 100 inhabitants, 35, 57, 81, 103, 117, 131, 133, 1351

Armenia

Number (thousands), 203, 318, 1260, 1876, 1442, 2192, 3865, 3211

Per 100 inhabitants, 7, 10, 41, 61, 47, 71, 125, 104

Aruba

Number (thousands), 98, 103, 109, 114, 121, 128, 132, 

Per 100 inhabitants, 99, 102, 106, 109, 114, 120, 123, 

Australia

Number (thousands), 16480, 18420, 19760, 21260, 22120, 22200, 22500, 24490

Per 100 inhabitants, 82, 90, 95, 101, 103, 101, 101, 108

Austria

Number (thousands), 7992, 8665, 9281, 9912, 10816, 11434, 12241, 13023

Per 100 inhabitants, 98, 105, 112, 119, 130, 137, 146, 155

Azerbaijan

Number (thousands), 1457, 2242, 3324, 4519, 6548, 7757, 9100, 10120

Per 100 inhabitants, 17, 26, 38, 51, 73, 86, 99, 109

Bahamas

Number (thousands), 186, 228, 253, 374, 358, 359, 428, 2991

Per 100 inhabitants, 59, 71, 78, 114, 107, 106, 125, 861

Bahrain

Number (thousands), 650, 767, 907, 1116, 1441, 1402, 1567, 1694

Per 100 inhabitants, 97, 106, 112, 121, 137, 120, 124, 128

Bangladesh

Number (thousands), 2782, 9000, 19131, 34370, 44640, 52430, 68650, 850001

Per 100 inhabitants, 2, 6, 13, 24, 31, 36, 46, 561

Barbados

Number (thousands), 200, 206, 237, 258, 289, 337, 350, 348

Per 100 inhabitants, 74, 76, 87, 95, 106, 124, 128, 127

Belarus

Number (thousands), 2239, 4100, 5960, 6960, 8128, 9686, 10333, 10695

Per 100 inhabitants, 23, 42, 61, 72, 84, 101, 108, 112

Belgium

Number (thousands), 9132, 9605, 9847, 10738, 11342, 11775, 12154, 12541

Per 100 inhabitants, 88, 92, 94, 102, 107, 110, 113, 117

Belize

Number (thousands), 75, 96, 118, 118, 160, 162, 194, 203

Per 100 inhabitants, 27, 34, 41, 40, 53, 53, 62, 64

Benin

Number (thousands), 459, 596, 1056, 2052, 3625, 5033, 7075, 7765

Per 100 inhabitants, 6, 8, 13, 25, 43, 59, 80, 85

Bermuda

Number (thousands), 49, 53, 60, 69, 79, 85, 88, 

Per 100 inhabitants, 77, 82, 93, 107, 122, 131, 136, 

Bhutan

Number (thousands), 19, 36, 82, 149, 253, 339, 394, 484

Per 100 inhabitants, 3, 5, 12, 22, 36, 47, 54, 66

Bolivia (Plurin. State of)

Number (thousands), 1801, 2421, 2876, 3254, 5039, 6464, 7179, 8353

Per 100 inhabitants, 20, 26, 31, 34, 52, 66, 72, 83

Bosnia and Herzegovina

Number (thousands), 1407, 1594, 1888, 2450, 3179, 3257, 3110, 3171

Per 100 inhabitants, 37, 42, 50, 65, 84, 86, 83, 85

Botswana

Number (thousands), 523, 564, 823, 1152, 1486, 1874, 2363, 2900

Per 100 inhabitants, 28, 30, 43, 60, 76, 95, 118, 143

Brazil

Number (thousands), 65605, 86210, 99919, 120980, 150641, 173959, 202944, 242232

Per 100 inhabitants, 36, 46, 53, 64, 79, 90, 104, 123

British Virgin Islands

Number (thousands), 0, 0, 0, 21, 23, 46, 47, 

Per 100 inhabitants, 0, 0, 0, 92, 101, 200, 201, 

Brunei Darussalam

Number (thousands), 202, 233, 301, 366, 399, 413, 435, 443

Per 100 inhabitants, 57, 64, 81, 97, 104, 105, 109, 109

Bulgaria

Number (thousands), 4730, 6245, 8253, 9897, 10429, 10455, 10200, 10475

Per 100 inhabitants, 61, 81, 107, 130, 137, 139, 136, 141

Burkina Faso

Number (thousands), 396, 634, 1017, 1858, 3024, 3824, 5708, 7682

Per 100 inhabitants, 3, 4, 7, 12, 19, 24, 35, 45

Burundi

Number (thousands), 101, 153, 200, 270, 481, 838, 1151, 1240

Per 100 inhabitants, 1, 2, 3, 4, 6, 10, 14, 14

Cambodia

Number (thousands), 862, 1062, 1722, 2583, 4237, 6268, 8151, 10000

Per 100 inhabitants, 7, 8, 13, 19, 31, 45, 58, 70

Cameroon

Number (thousands), 1531, 2253, 3136, 4536, 6161, 8004, 8637, 10487

Per 100 inhabitants, 9, 13, 17, 25, 33, 42, 44, 52

Canada

Number (thousands), 15020, 17017, 18749, 20277, 22093, 23812, 24037, 25858

Per 100 inhabitants, 47, 53, 57, 61, 66, 71, 71, 75

