Country or area, 2007, 2008, 2009, 2010, 2011, 2012, 2013

Afghanistan

Number (thousands), 0, 0, 5, 17, 14, 90, 96

Per 100 inhabitants, 0, 0, 0, 0.1, 0.1, 0.3, 0.3

Albania

Number (thousands), 300, 344, 363, 333, 339, 312, 281

Per 100 inhabitants, 9.5, 10.9, 11.5, 10.6, 10.7, 9.9, 8.9

Algeria

Number (thousands), 3068, 3069, 2576, 2923, 3059, 3231, 3130

Per 100 inhabitants, 8.7, 8.6, 7.1, 7.9, 8.1, 8.4, 8

American Samoa

Number (thousands), 10, 10, 10, 10, 0, 10, 10

Per 100 inhabitants, 18, 18.2, 18.5, 18.7, 0, 18.1, 18.1

Andorra

Number (thousands), 37, 37, 38, 38, 38, 38, 39

Per 100 inhabitants, 45.7, 46.7, 48.2, 49, 49.3, 48.9, 48.7

Angola

Number (thousands), 94, 114, #303, 281, 259, 208, 215

Per 100 inhabitants, 0.5, 0.6, #1.6, 1.4, 1.3, 1, 1

Anguilla

Number (thousands), 6, 6, 6, 6, 6, 6, 6

Per 100 inhabitants, 45.8, 46.8, 46.2, 45.6, 44.7, 42.5, 42

Antigua and Barbuda

Number (thousands), 38, 38, 37, 36, 35, 33, 33

Number (thousands), 44.9, 44.5, 43.3, 41.6, 40.3, 37.2, 36.8

Number (thousands), 0, 0, 0, 0, 0, 0, 

Number (thousands), 9500, 9743, 9768, 9914, 9723, 9456, 9662

Per 100 inhabitants, 24.2, 24.6, 24.4, 24.6, 23.9, 23, 23.3

Armenia

Number (thousands), 625, 627, 600, 592, 587, 584, 578

Per 100 inhabitants, 20.9, 21, 20.2, 20, 19.8, 19.7, 19.4

Aruba

Number (thousands), 39, 38, 37, 35, 0, 36, 35

Per 100 inhabitants, 38.1, 38, 36.2, 34.5, 0, 35.2, 34

Ascension

Number (thousands), 1, 1, 1, 1, 1, 1, 

Australia

Number (thousands), 9760, 9370, 10709, 10625, 10573, 10471, 10350

Per 100 inhabitants, 45.9, 43.3, 48.6, 47.4, 46.5, 45.4, 44.3

Austria5

Number (thousands), 3407, 3285, 3253, 3398, 3388, 3380, 3349

Per 100 inhabitants, 41, 39.4, 38.9, 40.4, 40.2, 39.9, 39.4

Azerbaijan

Number (thousands), 1253, 1311, 1401, 1507, 1684, 1724, 1758

Per 100 inhabitants, 14.3, 14.8, 15.6, 16.6, 18.3, 18.5, 18.7

Bahamas

Number (thousands), 133, 133, 129, 129, 133, 135, 136

Per 100 inhabitants, 38.8, 38.1, 36.4, 35.9, 36.3, 36.3, 36

Bahrain7

Number (thousands), 204, 220, 238, 228, 277, 299, 290

Per 100 inhabitants, 19.7, 19.8, 20, 18.2, 21.4, 22.7, 21.8

Bangladesh

Number (thousands), 1187, 1344, 1235, 1281, 978, 962, 1139

Per 100 inhabitants, 0.8, 0.9, 0.8, 0.9, 0.6, 0.6, 0.7

Barbados

Number (thousands), 134, 135, 136, 137, 141, 143, 149

Per 100 inhabitants, 48.6, 48.6, 48.6, 49, 49.9, 50.6, 52.3

Belarus

Number (thousands), 3672, 3718, 3983, 4139, 4208, 4407, 4469

Per 100 inhabitants, 38.3, 38.9, 41.8, 43.6, 44.5, 46.9, 47.8

Belgium8

Number (thousands), 4847, 4735, 4636, 4640, 4634, 4635, 4588

Per 100 inhabitants, 45.4, 44, 42.7, 42.4, 42.1, 41.9, 41.3

Belize

Number (thousands), 34, 31, 31, 301, 291, 25, 24

Per 100 inhabitants, 11.9, 10.6, 10.4, 9.81, 9.1!, 7.8, 7.2

Benin

Number (thousands), 111, 115, 127, 133, 153, 157, 159

Per 100 inhabitants, 1.3, 1.3, 1.4, 1.4, 1.6, 1.6, 1.5

Bermuda

Number (thousands), 58, 58, 58, 58, 0, 69, 72

Per 100 inhabitants, 89.3, 89.1, 89, 89, 0, 105.8, 110.2

Bhutan

Number (thousands), 30, 27, 26, 26, 27, 27, 26

Per 100 inhabitants, 4.4, 4, 3.7, 3.7, 3.8, 3.6, 3.5

Bolivia (Plurin. State of)

Number (thousands), 678, 789, 804, 851, 878, 879, 874

Per 100 inhabitants, 7, 8, 8.1, 8.4, 8.5, 8.4, 8.2

Bosnia and Herzegovina

Number (thousands), 1064, 1031, 999, 999, 956, 886, 890

Per 100 inhabitants, 27.5, 26.7, 25.9, 26, 24.9, 23.1, 23.2

Botswana

Number (thousands), 137, 142, 137, 137, 150, 160, 174

Per 100 inhabitants, 7.2, 7.4, 7, 7, 7.5, 8, 8.6

Brazil

Number (thousands), 39400, 41235, 41497, 42141, 43026, 44305, 44631

Per 100 inhabitants, 20.7, 21.5, 21.5, 21.6, 21.9, 22.3, 22.3

British Virgin Islands

Number (thousands), 15, 14, 14, 13, 13, 12, 12

Per 100 inhabitants, 59.5, 55.3, 51.1, 46.9, 45.1, 43.7, 42.6

Brunei Darussalam

Number (thousands), 80, 81, 81, 80, 80, 71, 57

Per 100 inhabitants, 20.9, 20.8, 20.4, 20, 19.6, 17.2, 13.6

Bulgaria

Number (thousands), 2300, 2190, 2205, 2164, 2273, 2133, 1942

Per 100 inhabitants, 30.4, 29.2, 29.6, 29.3, 31, 29.3, 26.9

Burkina Faso

Number (thousands), 117, 148, 152, 144, 142, 141, 137

Per 100 inhabitants, 0.8, 1, 1, 0.9, 0.9, 0.9, 0.8

Burundi

Number (thousands), 29, 30, 31, 35, 30, 17, 21

Per 100 inhabitants, 0.3, 0.4, 0.4, 0.4, 0.3, 0.2, 0.2

Cabo Verde

Number (thousands), 72, 72, 72, 72, 75, 70, 66

