"Region,  country or area", 2005, 2008, 2009, 2010, 2011, 2012, 2013, 2014

Afghanistan, 0, 0, 0, 0, 0, 0, 0, 

Number (thousands), 1200, 7899, 10500, 13000, 17558, 19521, 21588, 23424

Per 100 inhabitants, 5, 29, 38, 46, 60, 65, 71, 75

Albania, 0, 0, 0, 0, 0, 0, 0, 

Number (thousands), 1530, 1860, 2464, 2692, 3100, 3500, 3686, 3360

Per 100 inhabitants, 48, 59, 78, 85, 98, 111, 116, 105

Algeria, 0, 0, 0, 0, 0, 0, 0, 

Number (thousands), 13661, 27031, 32730, 32780, 35616, 37528, 39517, 37258

Per 100 inhabitants, 40, 76, 90, 88, 94, 98, 101, 93

Andorra, 0, 0, 0, 0, 0, 0, 0, 

Number (thousands), 65, 64, 65, 65, 65, 64, 64, 66

Per 100 inhabitants, 79, 80, 82, 84, 84, 82, 81, 83

Angola, 0, 0, 0, 0, 0, 0, 0, 

Number (thousands), 1611, 6773, 8109, 9403, 12073, 12785, 13285, 14053

Per 100 inhabitants, 10, 37, 43, 48, 60, 61, 62, 63

Anguilla, 0, 0, 0, 0, 0, 0, 0, 

Number (thousands), 13, 26, 25, 26, 26, 26, 26, 26

Per 100 inhabitants, 103, 198, 183, 187, 186, 185, 182, 180

Antigua and Barbuda, 0, 0, 0, 0, 0, 0, 0, 

Number (thousands), 86, 137, 1351, 168, 176, 127, 114, 109

Per 100 inhabitants, 104, 160, 1561, 193, 200, 143, 127, 120

Argentina, 0, 0, 0, 0, 0, 0, 0, 

Number (thousands), 22156, 46509, 52483, 57082, 60723, 64328, 67362, 66357

Per 100 inhabitants, 57, 117, 131, 141, 149, 157, 163, 159

Armenia, 0, 0, 0, 0, 0, 0, 0, 

Number (thousands), 318, 1442, 2192, 3865, 3211, 3323, 3346, 3459

Per 100 inhabitants, 11, 48, 74, 130, 108, 112, 112, 116

Aruba, 0, 0, 0, 0, 0, 0, 0, 

Number (thousands), 103, 121, 128, 132, 0, 135, 139, 140

Per 100 inhabitants, 103, 119, 126, 130, 0, 132, 135, 135

Australia, 0, 0, 0, 0, 0, 0, 0, 

Number (thousands), 18420, 22120, 22200, 22500, 23789, 24338, 24940, 31010

Per 100 inhabitants, 90, 102, 101, 100, 105, 106, 107, 131

Austria, 0, 0, 0, 0, 0, 0, 0, 

Number (thousands), 8665, 10816, 11434, 12241, 13023, 13588, 13272, 12953

Per 100 inhabitants, 105, 130, 137, 146, 154, 161, 156, 152

Azerbaijan, 0, 0, 0, 0, 0, 0, 0, 

