Country or area, 2000, 2005, 2010, 2012, 2013, 2014, 2015

Afghanistan

Number (thousands), 0, 1200, 10216, 15340, 16807, 18407, 19709

Per 100 inhabitants, 0, 5, 36, 51, 55, 59, 62

Albania

Number (thousands), 30, 1530, 2692, 3500, 3686, 3360, 3401

Per 100 inhabitants, 1, 48, 85, 111, 116, 105, 106

Algeria

Number (thousands), 86, 13661, 32780, 37528, 39517, 43298, 45928

Per 100 inhabitants, 0, 40, 88, 98, 101, 108, 113

American Samoa

Number (thousands), 2, 0, 0, 0, 0, 0, 

Per 100 inhabitants, 3, 0, 0, 0, 0, 0, 

Andorra

Number (thousands), 24, 65, 66, 64, 64, 66, 71

Per 100 inhabitants, 36, 79, 84, 82, 81, 83, 88

Angola

Number (thousands), 26, 1611, 9403, 12785, 13285, 14053, 13885

Per 100 inhabitants, 0, 10, 48, 61, 62, 63, 61

Anguilla

Number (thousands), 2, 13, 26, 26, 26, 26, 26

Per 100 inhabitants, 20, 103, 187, 185, 182, 180, 178

Antigua and Barbuda

Number (thousands), 22, 86, 168, 127, 114, 120, 126

Per 100 inhabitants, 28, 104, 193, 143, 127, 132, 137

Argentina

Number (thousands), 6488, 22156, 57082, 64328, 67362, 61234, 60664

Per 100 inhabitants, 18, 57, 141, 157, 163, 146, 144

Armenia

Number (thousands), 17, 318, 3865, 3323, 3346, 3459, 3442

Per 100 inhabitants, 1, 11, 130, 112, 112, 116, 115

Aruba

Number (thousands), 15, 103, 132, 135, 139, 140, 141

Per 100 inhabitants, 17, 103, 130, 132, 135, 135, 136

Ascension

Number (thousands), 0, 0, 0, 0, 0, 0, 0

Australia

Number (thousands), 8562, 18420, 22500, 24338, 24940, 31010, 31770

Per 100 inhabitants, 44, 90, 100, 106, 107, 131, 133

Austria

Number (thousands), 6117, 8665, 12241, 13588, 13272, 12953, 13471

Per 100 inhabitants, 76, 105, 146, 161, 156, 152, 157

Azerbaijan

Number (thousands), 420, 2242, 9100, 10125, 10130, 10553, 10697

Per 100 inhabitants, 5, 26, 100, 109, 108, 111, 111

Bahamas

Number (thousands), 32, 228, 428, 300, 287, 315, 311

Per 100 inhabitants, 11, 69, 119, 81, 76, 82, 80

Bahrain

Number (thousands), 206, 767, 1567, 2124, 2210, 2329, 2519

Per 100 inhabitants, 31, 87, 125, 161, 166, 173, 185

Bangladesh

Number (thousands), 279, 9000, 67924, 97180, 116553, 126866, 133720

Per 100 inhabitants, 0, 6, 45, 63, 74, 80, 83

Barbados

Number (thousands), 28, 206, 350, 349, 308, 305, 335

Per 100 inhabitants, 11, 75, 125, 123, 108, 107, 116

Belarus

Number (thousands), 49, 4100, 10333, 10676, 11114, 11402, 11448

Per 100 inhabitants, 0, 42, 109, 114, 119, 123, 124

Belgium

Number (thousands), 5629, 9605, 12154, 12313, 12315, 12735, 12938

Per 100 inhabitants, 55, 91, 111, 111, 111, 114, 116

Belize

Number (thousands), 17, 96, 194, 172, 175, 172, 170

Per 100 inhabitants, 7, 35, 63, 53, 53, 51, 49

Benin

Number (thousands), 55, 596, 7075, 8408, 9627, 8660, 9318

Per 100 inhabitants, 1, 7, 74, 84, 93, 82, 86

Bermuda

Number (thousands), 13, 53, 88, 91, 94, 59, 38

Per 100 inhabitants, 21, 82, 136, 140, 144, 91, 58

Bhutan

Number (thousands), 0, 36, 394, 561, 544, 625, 676

Per 100 inhabitants, 0, 6, 55, 76, 72, 82, 87

Bolivia (Plurinational State of)

Number (thousands), 583, 2421, 7179, 9493, 10426, 10450, 10163

Per 100 inhabitants, 7, 26, 71, 90, 98, 96, 92

Bosnia and Herzegovina

Number (thousands), 93, 1594, 3110, 3358, 3488, 3491, 3444

Per 100 inhabitants, 2, 41, 81, 88, 91, 91, 90

Botswana

Number (thousands), 222, 564, 2363, 3082, 3247, 3411, 3475

Per 100 inhabitants, 13, 30, 120, 154, 161, 167, 169

Brazil

Number (thousands), 23188, 86210, 196930, 248324, 271100, 280729, 257814

Per 100 inhabitants, 13, 46, 101, 125, 135, 139, 127

British Virgin Islands

Number (thousands), 0, 0, 48, 49, 53, 47, 42

Per 100 inhabitants, 0, 0, 175, 173, 188, 165, 146

Brunei Darussalam

Number (thousands), 95, 233, 435, 470, 469, 452, 463

Per 100 inhabitants, 29, 63, 109, 114, 112, 107, 108

Bulgaria

Number (thousands), 738, 6245, 10200, 10781, 10487, 9487, 9195

Per 100 inhabitants, 9, 81, 138, 148, 145, 132, 129

Burkina Faso

Number (thousands), 25, 634, 5708, 9976, 11241, 12494, 14447

Per 100 inhabitants, 0, 5, 37, 61, 66, 72, 81

Burundi

Number (thousands), 16, 153, 1678, 2247, 2537, 3193, 4998

Per 100 inhabitants, 0, 2, 18, 23, 25, 30, 46

Cabo Verde

Number (thousands), 20, 82, 372, 425, 499, 613, 646

Per 100 inhabitants, 4, 17, 76, 86, 100, 122, 127

Cambodia

Number (thousands), 131, 1062, 8151, 19105, 20265, 20452, 20851

Per 100 inhabitants, 1, 8, 57, 129, 134, 133, 133

Cameroon

Number (thousands), 103, 2253, 8637, 13108, 15665, 17270, 16807

Per 100 inhabitants, 1, 12, 42, 60, 70, 76, 72

Canada

Number (thousands), 8727, 17017, 25825, 27720, 28360, 28789, 29390

Per 100 inhabitants, 28, 53, 76, 80, 81, 81, 82

Cayman Islands

Number (thousands), 11, 81, 101, 99, 98, 91, 93

Per 100 inhabitants, 26, 166, 181, 172, 168, 154, 155

Central African Rep.

Number (thousands), 5, 100, 979, 1143, 1360, 1156, 982

Per 100 inhabitants, 0, 3, 23, 25, 29, 25, 20

Chad

Number (thousands), 6, 210, 2875, 4402, 4561, 5252, 5466

Per 100 inhabitants, 0, 2, 25, 35, 36, 40, 40

Chile

Number (thousands), 3402, 10570, 19852, 23941, 23661, 23681, 23206

Per 100 inhabitants, 22, 65, 116, 137, 134, 133, 129

China

Number (thousands), 85260, 393406, 859003, 1112155, 1229113, 1286093, 1305738

Per 100 inhabitants, 7, 30, 63, 81, 89, 92, 93

"China,  Hong Kong SAR"

Number (thousands), 5447, 8544, 13794, 16388, 17098, 16959, 16736

Per 100 inhabitants, 80, 124, 196, 229, 237, 234, 229

"China,  Macao SAR"

Number (thousands), 141, 533, 1122, 1613, 1722, 1856, 1896

Per 100 inhabitants, 33, 114, 210, 290, 304, 323, 324

Colombia

Number (thousands), 2257, 21850, 44478, 49066, 50295, 55330, 57327

Per 100 inhabitants, 6, 51, 96, 103, 104, 113, 116

Comoros

Number (thousands), 0, 16, 165, 284, 348, 383, 422

Per 100 inhabitants, 0, 3, 24, 40, 47, 51, 55

Congo

Number (thousands), 70, 558, 3719, 4283, 4660, 4930, 5216

Per 100 inhabitants, 2, 16, 90, 99, 105, 108, 112

Costa Rica

Number (thousands), 212, 1101, 3128, 5378, 7112, 7020, 7536

Per 100 inhabitants, 5, 25, 67, 112, 146, 142, 151

Cote d'Ivoire

Number (thousands), 473, 2349, 15599, 18100, 19391, 22105, 25408

Per 100 inhabitants, 3, 14, 82, 91, 95, 106, 119

Croatia

Number (thousands), 1033, 3650, 4928, 4971, 4721, 4461, 4416

Per 100 inhabitants, 23, 83, 114, 115, 110, 104, 104

Cuba

Number (thousands), 7, 136, 1003, 1682, 1996, 2531, 3335

Per 100 inhabitants, 0, 1, 9, 15, 18, 22, 30

Cyprus

Number (thousands), 218, 783, 1034, 1111, 1100, 1111, 1111

Per 100 inhabitants, 23, 76, 94, 98, 96, 96, 95

Czech Republic

Number (thousands), 4346, 11776, 12934, 13522, 13719, 13913, 13925

Per 100 inhabitants, 42, 115, 123, 127, 128, 130, 129

Dem. P. R. Korea

Number (thousands), 0, 0, 432, 1700, 2420, 2800, 3240

Per 100 inhabitants, 0, 0, 2, 7, 10, 11, 13

Dem. Rep. of the Congo, i, 0, 0, 0, 0, 0, 

Number (thousands), 15, 2746, 11820, 20093, 28232, 37103, 37753

Per 100 inhabitants, 0, 5, 19, 31, 42, 53, 53

Denmark

Number (thousands), 3364, 5449, 6421, 7293, 7031, 7160, 7266

Per 100 inhabitants, 63, 101, 116, 130, 125, 127, 128

Djibouti

Number (thousands), 0, 44, 166, 212, 244, 287, 312

Per 100 inhabitants, 0, 6, 20, 25, 28, 32, 35

Dominica

Number (thousands), 1, 52, 106, 109, 94, 74, 77

